Pavarde Vardas ND1 ND2 ND3 ND4 ND5 Egzaminas
Pavarde1 Vardas1 1 4 5 8 2 5 
Pavarde2 Vardas2 1 8 7 8 6 5 
Pavarde3 Vardas3 3 10 6 9 5 4 
Pavarde4 Vardas4 4 0 9 6 10 10 
Pavarde5 Vardas5 7 2 0 5 7 5 
Pavarde6 Vardas6 1 5 4 4 0 4 
Pavarde7 Vardas7 9 9 5 6 3 10 
Pavarde8 Vardas8 2 10 9 5 1 6 
Pavarde9 Vardas9 5 3 0 4 2 9 
Pavarde10 Vardas10 5 5 5 8 1 2 
Pavarde11 Vardas11 0 1 10 6 6 8 
Pavarde12 Vardas12 4 6 7 10 1 2 
Pavarde13 Vardas13 6 4 2 2 8 4 
Pavarde14 Vardas14 10 7 3 1 3 5 
Pavarde15 Vardas15 5 2 0 1 3 9 
Pavarde16 Vardas16 8 3 5 10 3 5 
Pavarde17 Vardas17 7 9 5 8 9 2 
Pavarde18 Vardas18 10 8 3 9 1 8 
Pavarde19 Vardas19 8 1 6 7 9 6 
Pavarde20 Vardas20 1 4 1 7 8 7 
Pavarde21 Vardas21 1 3 8 7 9 0 
Pavarde22 Vardas22 6 4 2 6 7 1 
Pavarde23 Vardas23 8 9 5 0 5 6 
Pavarde24 Vardas24 3 3 6 5 4 9 
Pavarde25 Vardas25 3 5 1 1 1 2 
Pavarde26 Vardas26 8 10 4 9 8 7 
Pavarde27 Vardas27 6 10 2 1 4 1 
Pavarde28 Vardas28 3 10 5 6 2 8 
Pavarde29 Vardas29 8 7 0 10 9 3 
Pavarde30 Vardas30 9 10 7 0 4 2 
Pavarde31 Vardas31 0 6 8 6 8 9 
Pavarde32 Vardas32 8 2 4 9 1 3 
Pavarde33 Vardas33 9 7 1 9 5 10 
Pavarde34 Vardas34 1 7 2 6 3 9 
Pavarde35 Vardas35 10 7 5 8 3 10 
Pavarde36 Vardas36 4 6 10 2 1 1 
Pavarde37 Vardas37 7 1 0 1 9 6 
Pavarde38 Vardas38 0 7 6 8 1 9 
Pavarde39 Vardas39 6 4 10 9 4 5 
Pavarde40 Vardas40 3 0 8 6 0 4 
Pavarde41 Vardas41 9 9 5 2 0 0 
Pavarde42 Vardas42 10 9 9 9 0 0 
Pavarde43 Vardas43 5 1 4 4 0 6 
Pavarde44 Vardas44 4 5 5 9 4 7 
Pavarde45 Vardas45 2 0 8 3 5 2 
Pavarde46 Vardas46 9 8 6 5 5 9 
Pavarde47 Vardas47 4 5 2 10 6 4 
Pavarde48 Vardas48 5 5 9 0 5 10 
Pavarde49 Vardas49 4 0 2 2 7 0 
Pavarde50 Vardas50 3 3 2 7 4 3 
Pavarde51 Vardas51 9 6 9 3 3 6 
Pavarde52 Vardas52 4 3 3 10 3 4 
Pavarde53 Vardas53 5 1 1 7 4 3 
Pavarde54 Vardas54 10 3 9 5 2 2 
Pavarde55 Vardas55 0 10 0 7 4 2 
Pavarde56 Vardas56 3 7 3 4 9 8 
Pavarde57 Vardas57 1 4 2 8 8 10 
Pavarde58 Vardas58 8 1 8 5 2 0 
Pavarde59 Vardas59 6 4 6 5 5 8 
Pavarde60 Vardas60 2 9 10 6 0 5 
Pavarde61 Vardas61 0 2 6 4 2 9 
Pavarde62 Vardas62 3 5 8 6 7 9 
Pavarde63 Vardas63 8 10 4 8 2 0 
Pavarde64 Vardas64 0 1 10 9 7 3 
Pavarde65 Vardas65 7 9 1 9 9 1 
Pavarde66 Vardas66 6 4 2 8 7 1 
Pavarde67 Vardas67 0 5 3 6 3 7 
Pavarde68 Vardas68 0 4 4 7 0 9 
Pavarde69 Vardas69 7 4 1 5 8 1 
Pavarde70 Vardas70 2 2 2 4 2 4 
Pavarde71 Vardas71 5 9 10 9 1 6 
Pavarde72 Vardas72 1 6 1 10 0 1 
Pavarde73 Vardas73 3 4 2 8 7 9 
Pavarde74 Vardas74 2 9 10 3 2 2 
Pavarde75 Vardas75 3 0 0 10 6 5 
Pavarde76 Vardas76 10 8 2 9 10 2 
Pavarde77 Vardas77 5 0 1 10 10 9 
Pavarde78 Vardas78 7 0 9 5 4 4 
Pavarde79 Vardas79 6 4 10 10 0 7 
Pavarde80 Vardas80 3 2 1 1 6 7 
Pavarde81 Vardas81 3 5 10 8 5 7 
Pavarde82 Vardas82 10 6 10 9 5 5 
Pavarde83 Vardas83 6 2 10 1 5 1 
Pavarde84 Vardas84 8 4 9 3 1 2 
Pavarde85 Vardas85 4 4 6 8 3 4 
Pavarde86 Vardas86 0 6 9 3 1 6 
Pavarde87 Vardas87 8 9 4 0 9 7 
Pavarde88 Vardas88 6 4 5 8 7 9 
Pavarde89 Vardas89 2 0 9 10 7 5 
Pavarde90 Vardas90 5 6 0 5 6 2 
Pavarde91 Vardas91 3 9 3 5 10 4 
Pavarde92 Vardas92 6 6 3 0 1 3 
Pavarde93 Vardas93 8 4 0 5 10 6 
Pavarde94 Vardas94 7 8 6 6 2 7 
Pavarde95 Vardas95 8 3 3 9 6 1 
Pavarde96 Vardas96 8 5 2 3 0 7 
Pavarde97 Vardas97 8 1 6 6 7 7 
Pavarde98 Vardas98 9 2 1 8 5 4 
Pavarde99 Vardas99 0 7 5 0 3 6 
Pavarde100 Vardas100 10 6 10 7 7 5 
Pavarde101 Vardas101 8 4 0 7 3 1 
Pavarde102 Vardas102 5 4 10 0 7 8 
Pavarde103 Vardas103 0 8 0 1 3 1 
Pavarde104 Vardas104 10 0 0 2 2 8 
Pavarde105 Vardas105 0 8 2 10 0 1 
Pavarde106 Vardas106 2 1 0 8 5 3 
Pavarde107 Vardas107 8 4 10 4 6 4 
Pavarde108 Vardas108 7 6 7 1 8 5 
Pavarde109 Vardas109 7 2 6 7 0 6 
Pavarde110 Vardas110 0 10 4 0 3 5 
Pavarde111 Vardas111 10 2 6 10 3 6 
Pavarde112 Vardas112 4 4 8 5 1 1 
Pavarde113 Vardas113 5 4 4 9 10 7 
Pavarde114 Vardas114 9 6 7 6 8 5 
Pavarde115 Vardas115 2 1 4 5 10 3 
Pavarde116 Vardas116 8 1 3 0 9 0 
Pavarde117 Vardas117 9 3 4 10 3 8 
Pavarde118 Vardas118 3 7 6 4 3 8 
Pavarde119 Vardas119 0 5 9 4 6 2 
Pavarde120 Vardas120 2 8 8 2 7 9 
Pavarde121 Vardas121 5 9 4 2 7 7 
Pavarde122 Vardas122 0 5 5 5 1 7 
Pavarde123 Vardas123 5 9 0 1 3 5 
Pavarde124 Vardas124 7 10 1 9 1 9 
Pavarde125 Vardas125 6 7 8 6 6 4 
Pavarde126 Vardas126 0 7 1 6 3 6 
Pavarde127 Vardas127 0 6 8 1 5 0 
Pavarde128 Vardas128 4 5 5 3 0 4 
Pavarde129 Vardas129 9 4 0 0 4 8 
Pavarde130 Vardas130 7 6 1 4 4 4 
Pavarde131 Vardas131 8 5 3 2 8 9 
Pavarde132 Vardas132 7 1 9 5 3 6 
Pavarde133 Vardas133 7 3 7 6 3 8 
Pavarde134 Vardas134 1 3 7 6 3 3 
Pavarde135 Vardas135 10 8 2 5 2 10 
Pavarde136 Vardas136 3 3 3 0 9 7 
Pavarde137 Vardas137 5 10 0 3 9 4 
Pavarde138 Vardas138 9 5 1 6 1 4 
Pavarde139 Vardas139 8 0 6 4 7 6 
Pavarde140 Vardas140 7 5 0 2 0 7 
Pavarde141 Vardas141 3 10 2 5 3 0 
Pavarde142 Vardas142 0 1 1 6 9 7 
Pavarde143 Vardas143 5 4 1 10 7 6 
Pavarde144 Vardas144 4 1 10 10 6 1 
Pavarde145 Vardas145 3 2 2 3 6 8 
Pavarde146 Vardas146 4 6 3 3 7 6 
Pavarde147 Vardas147 5 3 8 2 9 8 
Pavarde148 Vardas148 4 5 4 4 7 3 
Pavarde149 Vardas149 3 6 3 9 8 6 
Pavarde150 Vardas150 9 8 5 5 5 0 
Pavarde151 Vardas151 6 9 3 3 6 7 
Pavarde152 Vardas152 8 5 9 9 8 10 
