Pavarde Vardas ND1 ND2 ND3 ND4 ND5 Egzaminas
Pavarde1 Vardas1 7 0 1 10 3 9 
Pavarde2 Vardas2 4 2 4 7 9 3 
Pavarde3 Vardas3 7 0 0 0 10 3 
Pavarde4 Vardas4 8 6 4 8 2 8 
Pavarde5 Vardas5 7 6 10 7 0 10 
Pavarde6 Vardas6 9 9 9 6 0 6 
Pavarde7 Vardas7 4 0 5 10 7 1 
Pavarde8 Vardas8 1 3 2 10 3 9 
Pavarde9 Vardas9 8 1 6 9 1 1 
Pavarde10 Vardas10 2 7 0 10 3 9 
Pavarde11 Vardas11 4 5 7 9 9 1 
Pavarde12 Vardas12 10 5 8 10 8 5 
Pavarde13 Vardas13 8 8 3 3 0 10 
Pavarde14 Vardas14 0 1 4 10 8 10 
Pavarde15 Vardas15 5 1 4 10 4 1 
Pavarde16 Vardas16 8 5 1 5 6 8 
Pavarde17 Vardas17 10 4 8 0 7 1 
Pavarde18 Vardas18 5 5 6 3 9 9 
Pavarde19 Vardas19 6 9 0 7 10 6 
Pavarde20 Vardas20 0 7 4 10 2 5 
Pavarde21 Vardas21 6 10 9 0 6 7 
Pavarde22 Vardas22 8 9 10 3 5 6 
Pavarde23 Vardas23 7 3 6 2 3 6 
Pavarde24 Vardas24 10 2 10 7 2 7 
Pavarde25 Vardas25 9 5 9 9 9 9 
Pavarde26 Vardas26 1 0 1 8 2 5 
Pavarde27 Vardas27 9 2 7 9 9 7 
Pavarde28 Vardas28 8 9 1 10 10 0 
Pavarde29 Vardas29 7 3 8 0 6 6 
Pavarde30 Vardas30 1 4 0 4 2 6 
Pavarde31 Vardas31 7 9 3 1 9 4 
Pavarde32 Vardas32 7 9 3 3 9 5 
Pavarde33 Vardas33 5 4 7 1 1 10 
Pavarde34 Vardas34 9 7 8 10 0 10 
Pavarde35 Vardas35 5 8 10 0 10 1 
Pavarde36 Vardas36 3 0 5 3 2 3 
Pavarde37 Vardas37 2 7 2 8 0 0 
Pavarde38 Vardas38 2 3 10 9 3 8 
Pavarde39 Vardas39 3 2 3 3 3 0 
Pavarde40 Vardas40 9 4 8 3 5 6 
Pavarde41 Vardas41 4 6 5 10 2 9 
Pavarde42 Vardas42 6 10 2 4 4 1 
Pavarde43 Vardas43 1 9 7 6 9 9 
Pavarde44 Vardas44 5 7 7 6 3 3 
Pavarde45 Vardas45 3 3 9 8 8 8 
Pavarde46 Vardas46 5 7 8 5 3 2 
Pavarde47 Vardas47 6 7 4 10 0 7 
Pavarde48 Vardas48 5 0 8 1 6 6 
Pavarde49 Vardas49 2 10 5 10 6 1 
Pavarde50 Vardas50 4 8 4 7 7 9 
Pavarde51 Vardas51 5 5 4 2 9 3 
Pavarde52 Vardas52 6 2 3 7 8 5 
Pavarde53 Vardas53 5 6 3 1 0 3 
Pavarde54 Vardas54 4 5 7 2 6 1 
Pavarde55 Vardas55 2 3 8 4 6 8 
Pavarde56 Vardas56 9 1 9 1 1 6 
Pavarde57 Vardas57 0 8 3 8 0 4 
Pavarde58 Vardas58 3 3 9 1 9 1 
Pavarde59 Vardas59 0 10 10 1 2 5 
Pavarde60 Vardas60 5 3 6 10 6 2 
Pavarde61 Vardas61 4 8 7 10 1 1 
Pavarde62 Vardas62 5 10 9 7 8 8 
Pavarde63 Vardas63 5 7 3 0 10 10 
Pavarde64 Vardas64 1 5 6 10 8 2 
Pavarde65 Vardas65 2 9 2 3 0 6 
Pavarde66 Vardas66 5 5 9 7 4 4 
Pavarde67 Vardas67 2 5 2 8 7 8 
Pavarde68 Vardas68 4 6 3 4 0 5 
Pavarde69 Vardas69 9 0 7 9 10 10 
Pavarde70 Vardas70 4 4 9 4 5 10 
Pavarde71 Vardas71 5 7 9 9 3 7 
Pavarde72 Vardas72 5 6 10 10 4 9 
Pavarde73 Vardas73 2 9 9 10 10 7 
Pavarde74 Vardas74 10 6 3 1 1 9 
Pavarde75 Vardas75 9 9 10 2 3 7 
Pavarde76 Vardas76 9 10 2 9 9 7 
Pavarde77 Vardas77 7 10 8 2 6 4 
Pavarde78 Vardas78 1 1 5 4 0 0 
Pavarde79 Vardas79 0 3 8 8 6 6 
Pavarde80 Vardas80 1 1 3 7 1 8 
Pavarde81 Vardas81 7 5 9 8 1 5 
Pavarde82 Vardas82 4 9 4 0 10 1 
Pavarde83 Vardas83 8 9 8 3 3 1 
Pavarde84 Vardas84 2 1 1 8 9 0 
Pavarde85 Vardas85 0 2 9 10 2 5 
Pavarde86 Vardas86 7 3 2 7 10 7 
Pavarde87 Vardas87 3 4 1 6 3 2 
Pavarde88 Vardas88 3 8 4 5 0 10 
Pavarde89 Vardas89 6 5 5 0 7 0 
Pavarde90 Vardas90 9 4 0 6 6 5 
Pavarde91 Vardas91 5 3 5 7 7 6 
Pavarde92 Vardas92 3 9 7 5 3 4 
Pavarde93 Vardas93 8 2 2 6 4 6 
Pavarde94 Vardas94 0 5 10 6 5 9 
Pavarde95 Vardas95 1 7 7 3 10 9 
Pavarde96 Vardas96 7 1 8 7 10 10 
Pavarde97 Vardas97 6 9 0 5 1 7 
Pavarde98 Vardas98 9 2 5 4 3 8 
Pavarde99 Vardas99 7 2 3 1 4 1 
Pavarde100 Vardas100 10 10 9 0 7 6 
Pavarde101 Vardas101 9 6 0 3 1 7 
Pavarde102 Vardas102 6 5 4 2 4 1 
Pavarde103 Vardas103 7 8 8 4 7 8 
Pavarde104 Vardas104 3 5 9 0 8 10 
Pavarde105 Vardas105 6 3 0 3 5 8 
Pavarde106 Vardas106 9 6 2 1 3 10 
Pavarde107 Vardas107 1 9 7 0 6 6 
